product_id,product_name,category,brand,price
P0001,Harper Product 1,Books,Harper,70877
P0002,Philips Product 2,Home,Philips,9055
P0003,Harper Product 3,Books,Harper,55310
P0004,Oxford Product 4,Books,Oxford,51001
P0005,Philips Product 5,Home,Philips,83379
P0006,Zara Product 6,Clothing,Zara,18956
P0007,Adidas Product 7,Clothing,Adidas,89439
P0008,Adidas Product 8,Clothing,Adidas,30424
P0009,IKEA Product 9,Furniture,IKEA,76088
P0010,LG Product 10,Electronics,LG,21255
P0011,Harper Product 11,Books,Harper,8392
P0012,IKEA Product 12,Furniture,IKEA,79865
P0013,Nike Product 13,Clothing,Nike,42864
P0014,HP Product 14,Electronics,HP,62759
P0015,Nike Product 15,Clothing,Nike,48306
P0016,Samsung Product 16,Electronics,Samsung,31323
P0017,Prestige Product 17,Home,Prestige,32902
P0018,Samsung Product 18,Electronics,Samsung,88561
P0019,Oxford Product 19,Books,Oxford,91717
P0020,Milton Product 20,Home,Milton,6659
P0021,Philips Product 21,Home,Philips,55549
P0022,Samsung Product 22,Electronics,Samsung,24552
P0023,Nike Product 23,Clothing,Nike,78768
P0024,Levis Product 24,Clothing,Levis,13489
P0025,Nike Product 25,Clothing,Nike,15471
P0026,Godrej Product 26,Furniture,Godrej,20509
P0027,Prestige Product 27,Home,Prestige,91902
P0028,Milton Product 28,Home,Milton,81706
P0029,Milton Product 29,Home,Milton,12658
P0030,Samsung Product 30,Electronics,Samsung,68154
P0031,Nike Product 31,Clothing,Nike,16007
P0032,Philips Product 32,Home,Philips,59975
P0033,Harper Product 33,Books,Harper,62771
P0034,Zara Product 34,Clothing,Zara,47726
P0035,LG Product 35,Electronics,LG,49764
P0036,Oxford Product 36,Books,Oxford,86725
P0037,IKEA Product 37,Furniture,IKEA,47573
P0038,Harper Product 38,Books,Harper,56657
P0039,Zara Product 39,Clothing,Zara,60988
P0040,HP Product 40,Electronics,HP,18695
P0041,IKEA Product 41,Furniture,IKEA,49227
P0042,Adidas Product 42,Clothing,Adidas,14030
P0043,IKEA Product 43,Furniture,IKEA,96471
P0044,LG Product 44,Electronics,LG,30891
P0045,Penguin Product 45,Books,Penguin,31969
P0046,Harper Product 46,Books,Harper,3692
P0047,IKEA Product 47,Furniture,IKEA,5446
P0048,Penguin Product 48,Books,Penguin,59599
P0049,Zara Product 49,Clothing,Zara,38456
P0050,Bajaj Product 50,Home,Bajaj,85045
P0051,Puma Product 51,Clothing,Puma,46803
P0052,Philips Product 52,Home,Philips,74133
P0053,Harper Product 53,Books,Harper,8026
P0054,HP Product 54,Electronics,HP,36454
P0055,Oxford Product 55,Books,Oxford,46639
P0056,Oxford Product 56,Books,Oxford,56446
P0057,Harper Product 57,Books,Harper,13237
P0058,Apple Product 58,Electronics,Apple,93607
P0059,Durian Product 59,Furniture,Durian,74277
P0060,Harper Product 60,Books,Harper,98168
P0061,IKEA Product 61,Furniture,IKEA,44236
P0062,Sony Product 62,Electronics,Sony,57862
P0063,Apple Product 63,Electronics,Apple,99301
P0064,Oxford Product 64,Books,Oxford,10279
P0065,Durian Product 65,Furniture,Durian,69208
P0066,Oxford Product 66,Books,Oxford,7333
P0067,Puma Product 67,Clothing,Puma,51519
P0068,Bajaj Product 68,Home,Bajaj,98550
P0069,Milton Product 69,Home,Milton,19777
P0070,Oxford Product 70,Books,Oxford,93819
P0071,Milton Product 71,Home,Milton,39978
P0072,Oxford Product 72,Books,Oxford,23609
P0073,Bajaj Product 73,Home,Bajaj,47106
P0074,Harper Product 74,Books,Harper,38681
P0075,IKEA Product 75,Furniture,IKEA,66485
P0076,Oxford Product 76,Books,Oxford,5427
P0077,LG Product 77,Electronics,LG,31398
P0078,Milton Product 78,Home,Milton,57428
P0079,Godrej Product 79,Furniture,Godrej,24056
P0080,Philips Product 80,Home,Philips,83460
P0081,Godrej Product 81,Furniture,Godrej,15549
P0082,Levis Product 82,Clothing,Levis,41412
P0083,Godrej Product 83,Furniture,Godrej,26082
P0084,Godrej Product 84,Furniture,Godrej,26267
P0085,Nike Product 85,Clothing,Nike,48984
P0086,Penguin Product 86,Books,Penguin,35779
P0087,Milton Product 87,Home,Milton,19221
P0088,Penguin Product 88,Books,Penguin,35219
P0089,Puma Product 89,Clothing,Puma,43328
P0090,Zara Product 90,Clothing,Zara,91170
P0091,LG Product 91,Electronics,LG,21132
P0092,Samsung Product 92,Electronics,Samsung,46062
P0093,Oxford Product 93,Books,Oxford,31879
P0094,Bajaj Product 94,Home,Bajaj,64274
P0095,Zara Product 95,Clothing,Zara,1824
P0096,Nike Product 96,Clothing,Nike,91025
P0097,Durian Product 97,Furniture,Durian,69468
P0098,Puma Product 98,Clothing,Puma,85189
P0099,Apple Product 99,Electronics,Apple,8543
P0100,Puma Product 100,Clothing,Puma,50387
P0101,Sony Product 101,Electronics,Sony,266
P0102,Puma Product 102,Clothing,Puma,76799
P0103,Philips Product 103,Home,Philips,51923
P0104,Oxford Product 104,Books,Oxford,418
P0105,Harper Product 105,Books,Harper,35803
P0106,Sony Product 106,Electronics,Sony,77172
P0107,Penguin Product 107,Books,Penguin,5755
P0108,Philips Product 108,Home,Philips,83160
P0109,Harper Product 109,Books,Harper,33888
P0110,Apple Product 110,Electronics,Apple,7839
P0111,Milton Product 111,Home,Milton,20300
P0112,Godrej Product 112,Furniture,Godrej,2964
P0113,Godrej Product 113,Furniture,Godrej,58076
P0114,Bajaj Product 114,Home,Bajaj,56738
P0115,Harper Product 115,Books,Harper,85490
P0116,Nike Product 116,Clothing,Nike,85117
P0117,Bajaj Product 117,Home,Bajaj,72776
P0118,Durian Product 118,Furniture,Durian,51705
P0119,IKEA Product 119,Furniture,IKEA,40470
P0120,Harper Product 120,Books,Harper,46258
P0121,Prestige Product 121,Home,Prestige,63048
P0122,Bajaj Product 122,Home,Bajaj,2788
P0123,Harper Product 123,Books,Harper,80054
P0124,Philips Product 124,Home,Philips,43422
P0125,Puma Product 125,Clothing,Puma,87303
P0126,Prestige Product 126,Home,Prestige,6707
P0127,Harper Product 127,Books,Harper,26150
P0128,Philips Product 128,Home,Philips,37046
P0129,Adidas Product 129,Clothing,Adidas,63671
P0130,Bajaj Product 130,Home,Bajaj,88292
P0131,Puma Product 131,Clothing,Puma,12751
P0132,Zara Product 132,Clothing,Zara,57617
P0133,Milton Product 133,Home,Milton,47678
P0134,Godrej Product 134,Furniture,Godrej,65879
P0135,HP Product 135,Electronics,HP,68627
P0136,Nike Product 136,Clothing,Nike,42628
P0137,Adidas Product 137,Clothing,Adidas,81676
P0138,Bajaj Product 138,Home,Bajaj,39680
P0139,Sony Product 139,Electronics,Sony,25267
P0140,Puma Product 140,Clothing,Puma,91948
P0141,Oxford Product 141,Books,Oxford,40757
P0142,IKEA Product 142,Furniture,IKEA,56439
P0143,Harper Product 143,Books,Harper,39596
P0144,Durian Product 144,Furniture,Durian,8996
P0145,Durian Product 145,Furniture,Durian,30903
P0146,IKEA Product 146,Furniture,IKEA,60956
P0147,Milton Product 147,Home,Milton,44270
P0148,IKEA Product 148,Furniture,IKEA,5580
P0149,Penguin Product 149,Books,Penguin,2560
P0150,Bajaj Product 150,Home,Bajaj,54175
P0151,Harper Product 151,Books,Harper,21059
P0152,Puma Product 152,Clothing,Puma,99737
P0153,Penguin Product 153,Books,Penguin,5972
P0154,Harper Product 154,Books,Harper,66722
P0155,Puma Product 155,Clothing,Puma,39876
P0156,Durian Product 156,Furniture,Durian,36038
P0157,Godrej Product 157,Furniture,Godrej,49921
P0158,Puma Product 158,Clothing,Puma,33246
P0159,LG Product 159,Electronics,LG,52856
P0160,Samsung Product 160,Electronics,Samsung,99413
P0161,Adidas Product 161,Clothing,Adidas,23597
P0162,HP Product 162,Electronics,HP,67738
P0163,Oxford Product 163,Books,Oxford,41094
P0164,IKEA Product 164,Furniture,IKEA,66097
P0165,Adidas Product 165,Clothing,Adidas,58750
P0166,Penguin Product 166,Books,Penguin,61246
P0167,Prestige Product 167,Home,Prestige,38864
P0168,Godrej Product 168,Furniture,Godrej,54432
P0169,Durian Product 169,Furniture,Durian,59272
P0170,Samsung Product 170,Electronics,Samsung,4995
P0171,Levis Product 171,Clothing,Levis,93441
P0172,Oxford Product 172,Books,Oxford,21282
P0173,Levis Product 173,Clothing,Levis,46571
P0174,Prestige Product 174,Home,Prestige,69826
P0175,Durian Product 175,Furniture,Durian,14714
P0176,Levis Product 176,Clothing,Levis,60379
P0177,Milton Product 177,Home,Milton,89767
P0178,Penguin Product 178,Books,Penguin,84703
P0179,Levis Product 179,Clothing,Levis,32020
P0180,Zara Product 180,Clothing,Zara,76410
P0181,Sony Product 181,Electronics,Sony,69207
P0182,Penguin Product 182,Books,Penguin,84861
P0183,Puma Product 183,Clothing,Puma,99129
P0184,Philips Product 184,Home,Philips,339
P0185,Philips Product 185,Home,Philips,13645
P0186,Prestige Product 186,Home,Prestige,47208
P0187,HP Product 187,Electronics,HP,27579
P0188,Prestige Product 188,Home,Prestige,46568
P0189,Durian Product 189,Furniture,Durian,73293
P0190,Oxford Product 190,Books,Oxford,19707
P0191,HP Product 191,Electronics,HP,8377
P0192,Godrej Product 192,Furniture,Godrej,1429
P0193,Godrej Product 193,Furniture,Godrej,64307
P0194,Adidas Product 194,Clothing,Adidas,47109
P0195,Penguin Product 195,Books,Penguin,39310
P0196,Milton Product 196,Home,Milton,96259
P0197,Oxford Product 197,Books,Oxford,15464
P0198,Levis Product 198,Clothing,Levis,53774
P0199,Penguin Product 199,Books,Penguin,55784
P0200,IKEA Product 200,Furniture,IKEA,41569
P0201,Bajaj Product 201,Home,Bajaj,37420
P0202,Bajaj Product 202,Home,Bajaj,87071
P0203,Godrej Product 203,Furniture,Godrej,90132
P0204,IKEA Product 204,Furniture,IKEA,67969
P0205,Durian Product 205,Furniture,Durian,89586
P0206,Oxford Product 206,Books,Oxford,64527
P0207,Adidas Product 207,Clothing,Adidas,21764
P0208,Puma Product 208,Clothing,Puma,20709
P0209,HP Product 209,Electronics,HP,20934
P0210,IKEA Product 210,Furniture,IKEA,55531
P0211,Harper Product 211,Books,Harper,74571
P0212,Harper Product 212,Books,Harper,57483
P0213,Philips Product 213,Home,Philips,38879
P0214,Oxford Product 214,Books,Oxford,62471
P0215,Bajaj Product 215,Home,Bajaj,82220
P0216,Oxford Product 216,Books,Oxford,66010
P0217,Apple Product 217,Electronics,Apple,97008
P0218,Prestige Product 218,Home,Prestige,78696
P0219,Sony Product 219,Electronics,Sony,30970
P0220,Bajaj Product 220,Home,Bajaj,19187
P0221,Penguin Product 221,Books,Penguin,25616
P0222,Apple Product 222,Electronics,Apple,41650
P0223,Prestige Product 223,Home,Prestige,34281
P0224,LG Product 224,Electronics,LG,17529
P0225,Penguin Product 225,Books,Penguin,18629
P0226,Penguin Product 226,Books,Penguin,80982
P0227,Puma Product 227,Clothing,Puma,51004
P0228,Durian Product 228,Furniture,Durian,47369
P0229,Levis Product 229,Clothing,Levis,15252
P0230,Zara Product 230,Clothing,Zara,68020
P0231,Durian Product 231,Furniture,Durian,27518
P0232,Samsung Product 232,Electronics,Samsung,74356
P0233,Penguin Product 233,Books,Penguin,29059
P0234,Nike Product 234,Clothing,Nike,287
P0235,Adidas Product 235,Clothing,Adidas,11677
P0236,Godrej Product 236,Furniture,Godrej,17340
P0237,LG Product 237,Electronics,LG,57124
P0238,Apple Product 238,Electronics,Apple,47179
P0239,Oxford Product 239,Books,Oxford,21074
P0240,Oxford Product 240,Books,Oxford,40991
P0241,Apple Product 241,Electronics,Apple,16550
P0242,Nike Product 242,Clothing,Nike,78137
P0243,Penguin Product 243,Books,Penguin,54979
P0244,Prestige Product 244,Home,Prestige,76504
P0245,Milton Product 245,Home,Milton,41739
P0246,Philips Product 246,Home,Philips,84263
P0247,Durian Product 247,Furniture,Durian,13962
P0248,Sony Product 248,Electronics,Sony,54652
P0249,Durian Product 249,Furniture,Durian,83711
P0250,Bajaj Product 250,Home,Bajaj,51527
P0251,Sony Product 251,Electronics,Sony,8531
P0252,Bajaj Product 252,Home,Bajaj,70101
P0253,Penguin Product 253,Books,Penguin,31878
P0254,HP Product 254,Electronics,HP,92687
P0255,Puma Product 255,Clothing,Puma,68002
P0256,Levis Product 256,Clothing,Levis,4765
P0257,HP Product 257,Electronics,HP,836
P0258,IKEA Product 258,Furniture,IKEA,55241
P0259,Sony Product 259,Electronics,Sony,96924
P0260,HP Product 260,Electronics,HP,39237
P0261,LG Product 261,Electronics,LG,82555
P0262,IKEA Product 262,Furniture,IKEA,94637
P0263,Milton Product 263,Home,Milton,15521
P0264,Sony Product 264,Electronics,Sony,2008
P0265,Godrej Product 265,Furniture,Godrej,6508
P0266,Levis Product 266,Clothing,Levis,47762
P0267,Apple Product 267,Electronics,Apple,13606
P0268,IKEA Product 268,Furniture,IKEA,24415
P0269,Bajaj Product 269,Home,Bajaj,54558
